,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link
0,Kolhapur,Black,75,50,100,6.5,1000,20,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
1,Kolhapur,Black,80,50,100,6.5,1000,20,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
2,Kolhapur,Black,85,50,100,6.5,1000,20,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
3,Kolhapur,Black,90,50,100,6.5,1000,20,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
4,Kolhapur,Black,95,50,100,6.5,1000,20,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
5,Kolhapur,Black,100,50,100,6.5,1000,20,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
6,Kolhapur,Black,75,55,105,7.0,1100,25,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
7,Kolhapur,Black,80,55,105,7.0,1100,25,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
8,Kolhapur,Black,85,55,105,7.0,1100,25,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
9,Kolhapur,Black,90,55,105,7.0,1100,25,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
10,Kolhapur,Black,95,55,105,7.0,1100,25,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
11,Kolhapur,Black,100,55,105,7.0,1100,25,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
12,Kolhapur,Black,75,60,110,7.5,1200,30,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
13,Kolhapur,Black,80,60,110,7.5,1200,30,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
14,Kolhapur,Black,85,60,110,7.5,1200,30,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
15,Kolhapur,Black,90,60,110,7.5,1200,30,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
16,Kolhapur,Black,95,60,110,7.5,1200,30,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
17,Kolhapur,Black,100,60,110,7.5,1200,30,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
18,Kolhapur,Black,75,50,115,6.5,1300,35,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
19,Kolhapur,Black,80,50,115,6.5,1300,35,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
20,Kolhapur,Black,85,50,115,6.5,1300,35,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
21,Kolhapur,Black,90,50,115,6.5,1300,35,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
22,Kolhapur,Black,95,50,115,6.5,1300,35,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
23,Kolhapur,Black,100,50,115,6.5,1300,35,Sugarcane,Urea,https://www.youtube.com/watch?v=tdzWdenjbVg
24,Kolhapur,Black,75,55,100,7.0,1400,20,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
25,Kolhapur,Black,80,55,100,7.0,1400,20,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
26,Kolhapur,Black,85,55,100,7.0,1400,20,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
27,Kolhapur,Black,90,55,100,7.0,1400,20,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
28,Kolhapur,Black,95,55,100,7.0,1400,20,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
29,Kolhapur,Black,100,55,100,7.0,1400,20,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
30,Kolhapur,Black,75,60,105,7.5,1500,25,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
31,Kolhapur,Black,80,60,105,7.5,1500,25,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
32,Kolhapur,Black,85,60,105,7.5,1500,25,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
33,Kolhapur,Black,90,60,105,7.5,1500,25,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
34,Kolhapur,Black,95,60,105,7.5,1500,25,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
35,Kolhapur,Black,100,60,105,7.5,1500,25,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
36,Kolhapur,Black,75,50,110,6.5,1000,30,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
37,Kolhapur,Black,80,50,110,6.5,1000,30,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
38,Kolhapur,Black,85,50,110,6.5,1000,30,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
39,Kolhapur,Black,90,50,110,6.5,1000,30,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
40,Kolhapur,Black,95,50,110,6.5,1000,30,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
41,Kolhapur,Black,100,50,110,6.5,1000,30,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
42,Kolhapur,Black,75,55,115,7.0,1100,35,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
43,Kolhapur,Black,80,55,115,7.0,1100,35,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
44,Kolhapur,Black,85,55,115,7.0,1100,35,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
45,Kolhapur,Black,90,55,115,7.0,1100,35,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
46,Kolhapur,Black,95,55,115,7.0,1100,35,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
47,Kolhapur,Black,100,55,115,7.0,1100,35,Sugarcane,DAP,https://www.youtube.com/watch?v=tdzWdenjbVg
48,Kolhapur,Black,75,60,100,7.5,1200,20,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
49,Kolhapur,Black,80,60,100,7.5,1200,20,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
50,Kolhapur,Black,85,60,100,7.5,1200,20,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
51,Kolhapur,Black,90,60,100,7.5,1200,20,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
52,Kolhapur,Black,95,60,100,7.5,1200,20,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
53,Kolhapur,Black,100,60,100,7.5,1200,20,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
54,Kolhapur,Black,75,50,105,6.5,1300,25,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
55,Kolhapur,Black,80,50,105,6.5,1300,25,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
56,Kolhapur,Black,85,50,105,6.5,1300,25,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
57,Kolhapur,Black,90,50,105,6.5,1300,25,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
58,Kolhapur,Black,95,50,105,6.5,1300,25,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
59,Kolhapur,Black,100,50,105,6.5,1300,25,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
60,Kolhapur,Black,75,55,110,7.0,1400,30,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
61,Kolhapur,Black,80,55,110,7.0,1400,30,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
62,Kolhapur,Black,85,55,110,7.0,1400,30,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
63,Kolhapur,Black,90,55,110,7.0,1400,30,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
64,Kolhapur,Black,95,55,110,7.0,1400,30,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
65,Kolhapur,Black,100,55,110,7.0,1400,30,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
66,Kolhapur,Black,75,60,115,7.5,1500,35,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
67,Kolhapur,Black,80,60,115,7.5,1500,35,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
68,Kolhapur,Black,85,60,115,7.5,1500,35,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
69,Kolhapur,Black,90,60,115,7.5,1500,35,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
70,Kolhapur,Black,95,60,115,7.5,1500,35,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
71,Kolhapur,Black,100,60,115,7.5,1500,35,Sugarcane,MOP,https://www.youtube.com/watch?v=tdzWdenjbVg
72,Kolhapur,Black,20,25,25,6.5,600,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI
73,Kolhapur,Black,25,25,25,6.5,600,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI
74,Kolhapur,Black,30,25,25,6.5,600,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI
75,Kolhapur,Black,35,25,25,6.5,600,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI
76,Kolhapur,Black,40,25,25,6.5,600,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI
77,Kolhapur,Black,20,30,30,7.0,700,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI
78,Kolhapur,Black,25,30,30,7.0,700,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI
79,Kolhapur,Black,30,30,30,7.0,700,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI
80,Kolhapur,Black,35,30,30,7.0,700,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI
81,Kolhapur,Black,40,30,30,7.0,700,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI
